0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,1,1,1,5,1,1,1,0,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
0,1,1,1,1,1,1,7,4,7,6,1,1,1,1,1,0,0,0,0
0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
0,3,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0
0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0
0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0
0,1,1,1,1,0,1,7,0,1,1,0,1,1,1,1,0,0,0,0
0,1,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0
0,1,1,1,1,1,1,7,7,7,7,7,7,7,7,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
